KO,ENG,JPN
거진해수욕장,Geojin Beach,巨津海水浴場
건봉사,Geonbongsa Temple,乾鳳寺
경포가시연습지,Gyeongpo Prickly Water Lily Wetland,鏡浦オニバス湿地
경포도립공원,Gyeongpo Provincial Park,鏡浦道立公園
경포솔향온천,Gyeongpo Solhyang Hot Springs,鏡浦ソリャン温泉
경포호,Gyeongpoho Lake,鏡浦湖
계방산 생태관리센터,Gyebangsan Ecological Management Center,桂芳山生態管理センター
계조암,Gyejoam Hermitage,継祖庵
고니골빛축제,Gonigol Light Festival,コニコル光の祭り
고랭길,Goraeng Trail,コレンギル
고랭지만두마을,Goraengji Mandu Village,高冷地マンドゥ村
고박정렬여사추모공원,The Late Mrs. Park Jeong-ryeol Memorial Park,故パク·チョンリョル女士追慕公園
고불개해변,Gobulgae Beach,コブルゲ海辺
고석정,Goseokjeong Pavilion,孤石亭
고석정 꽃밭,Goseokjeong Flower Garden,孤石亭の花園
고성 제3기 현무암 (강원평화지역 국가지질공원),Goseong Tertiary Basalt (Gangwon Peace National Geopark),高城第3期玄武岩(江原平和地域国家地質公園)
고성 통일전망타워,Goseong Unification Observatory Tower,高城統一展望タワー
고씨동굴,Gossidonggul Cave,高氏洞窟
고포마을,Gopo Village,姑浦マウル
곤충농장 벅스팜,Insect Farm Bugs Farm,昆虫農場バグズファーム
공지천조각공원,Gongjicheon Sculpture Park,孔之川彫刻公園
공현진항,Gonghyeonjin Port,公峴津港
관음변상탱화,Avalokitesvara Altar Painting,観音変湘幀画
광진해수욕장,Gwangjin Beach,広津海水浴場
광치자연휴양림,Gwangchi Recreational Forest,広峙自然休養林
교암리해수욕장,Gyoamri Beach,橋岩里海水浴場
구룡사,Guryongsa Temple,亀龍寺
구문소농촌체험휴양마을,Gumunso Farming Village,求門沼農村体験休養マウル
구미정,Gumijeong Pavilion,九美亭
구은사,Gueunsa Temple,九隠祠
국립검봉산자연휴양림,Geombongsan Recreational Forest,国立剣峰山自然休養林
국립대관령치유의숲,Daegwallyeong Healing Forest,国立大関嶺治癒の森
국립청태산자연휴양림,Cheongtaesan Recreational Forest,国立青太山自然休養林
국순당 주향로,Kooksoondang Juhyangro,麹醇堂酒香路
국제평화아트파크,International Peace Art Park,国際平和アートパーク
국토정중앙천문대,Gukto Jeongjungang Observatory,国土中央天文台
궁촌항,Gungchon Port,宮村港
궁촌해수욕장,Gungchon Beach,宮村海水浴場
금강굴,Geumganggul Cave,金剛窟
금대봉야생화 군락지,Geumdaebong Wild Flower Habitat,金台峰野生花群生地
금진항,Geumjin Port,金津港
금진방파제,Geumjin Seawall,金津防波堤
기사문항,Gisamun Port,其士門港
기사문해변,Gisamun Beach,其士門海岸
김제남 신도비,Kimjenam Shindobi,金悌男神道碑
김하인 아트홀 국화꽃향기,Kim Hain Art Hall Gukwakkotyanggi,キム·ハインアートホール ククァコッ香気
김화군민 망향탑,Manghyangtap Tower for Refugees from Gimhwa,金化郡民望郷塔
나릿골 감성마을,Naritgol Gamseong Village,ナリッコルカムソンマウル
나미콩쿠르 수상작 전,Nami Concours Winning Works Exhibition,ナミコンクール受賞作展
낙산도립공원,Naksan Provincial Park,洛山道立公園
낙산사,Naksansa Temple,洛山寺
낙산해안로,Naksan Coastal Road,洛山海岸路
난고김삿갓(김병연)유적지,Historic Site of Kim Satgat (Kim Byeongyeon),蘭皐ゴキム・サッカッ(金炳淵)遺跡址
난포정,Nanpojeong Pavilion,蘭浦亭
남노일강변유원지,Namnoilgangbyeon Recreation Area,南魯日里江邊遊園地
남대천연어생태공원,Namdaecheon Salmon Eco Park,南大川鮭生態公園
남애3리해수욕장,Namae 3-ri Beach,南涯3里海水浴場
남애 어촌체험마을,Namae Fishing Village,南涯漁村体験マウル
남애항,Namae Port,南涯港
남전약수터,Namjeon Mineral Spring,ナムジョン ヤクスト
낭천산림욕장,Nangcheon Forest Park,浪川森林浴の森
수변공원,Subyeon Park,水辺公園
내수면 생명 자원센터,Naesumyeon Bio-Resources Center,内水面生命資源センター
냉천공원,Naengcheon Park,冷泉公園
노암터널,Noam Tunnel,魯岩トンネル
눈꽃마을,Nunkkot Village,ヌンコッマウル
늘햇살 농촌체험 만우마을,Neulhaetsal Manu Farming Village,ヌルヘッサル農村体験晩遇マウル
능파대,Neungpadae Tafoni,凌波台
다이나믹 메이즈 속초,Dynamic Maze Sokcho Location,ダイナミックメイズ束草
단경골 휴양지,Dangyeonggol Recreation Area,檀京谷 休養地
단관공원,Dangwan Park,丹観公園
단종대왕비,Monument of King Danjong,端宗大王碑
대관령 삼양목장,Daegwallyeong Samyang Ranch,大関嶺 三養牧場
대관령아기동물농장,Daegwallyeong Baby Animal Farm,大関嶺動物の赤ちゃん農場
