KO,ENG,JPN
관덕정 순교기념관,Kwandeokjeong Martyrs' Memorial Hall,観徳亭殉教記念館
국립대구박물관,Daegu National Museum,国立大邱博物館
국채보상운동기념관,National Debt Repayment Movement Memorial Hall,国債報償運動記念館
달서구립 도원도서관,Dalseo-gu Dowon Library,達西区立桃源図書館
달성군립도서관,Dalseong County Library,達城郡立図書館
대구광역시립 두류도서관,Daegu Duryu Library,大邱広域市立頭流図書館
서구문화회관,Seo-gu Cultural Center,西区文化会館
대구영화학교,Daegu Film School,大邱映画学校
대구점자도서관,Daegu Braille Library,大邱点字図書館
대덕문화전당,Daedeok Cultural Center,大徳文化殿堂
대한불교조계종보리사보리불교대학,Korean Buddhist Jogye Order Bori Sabori Buddhist University,大韓仏教曹渓宗菩提寺菩提仏教大学
아양아트센터,Ayang Art Center,雅陽アートセンター
동원화랑,Dongwon Hwarang,東遠画廊
대구문화예술회관비슬홀,Daegu Culture and Arts Center Biseul Hall,大邱文化芸術会館ビスルホール
봉산문화회관,Bongsan Cultural Center,鳳山文化会館
어울아트센터,Eoul Art Center,オウルアートセンター
불광대학,Bulgwang University,仏光大学
성당포스코the#도서관,Seongdang Posco the Sharp Library,聖堂ポスコthe#図書館
구립 물망이도서관,District Meulmangi Library,区立忘れ図書館
수성구립 용학도서관,Suseong-gu Yonghak Library,寿城区立龍鶴図書館
신동산문고,Shindongsan Bookstore,新東山文庫
예송갤러리,Yesong Gallery,礼松ギャラリー
예전아트홀,Yejeon Art Hall,昔のアートホール
월성월드메르디앙도서관,Wolseong World Meridian Library,ウォルソンワールドメルディアン図書館
하모니아아트홀,Harmonia Art Hall,ハーモニアアートホール
화성그랜드함지원도서관,Hwaseong Grand HamJiwon Library,華城グランドハム支援図書館
양평 숲속의 미술공원C아트뮤지엄,Yangpyeong C Art Museum,楊平スプソク美術公園Cアートミュージアム
킨텍스,KINTEX,キンテックス
가평현암농경유물박물관,Gapyeong Hyeonam Agricultural Museum,加平ヒョンアム農耕遺物博物館
케이리즈갤러리,Kliz Gallery,ケイリーズギャラリー
경기광주문예회관,Gyeonggi Gwangju Culture and Art Center,京畿道広州文芸会館
세종국악당,Sejong Gugakdang,世宗国楽堂
경기과천교육도서관,Gyeonggi Gwacheon Library of Education,京畿果川教育図書館
경기성남교육도서관,Gyeonggi Seongnam Library of Education,京畿城南教育図書館
유리섬박물관,Glass Island Museum,ユリソム博物館
경기북부시각장애인점자도서관,Gyeonggi Northern Braille Library,京畿北部視覚障害者点字図書館
고양시 민속전시관,Goyang Civic Folk Museum,高陽市民俗展示館
고양시립 마두도서관,Goyang City Madu Library,高陽市立馬頭図書館
고양시립신원도서관,Goyang Municipal Shinwon Library,高陽市立新院図書館
고양시립아람누리도서관,Goyang Municipal Aramnuri Library,高陽市立アラムヌリ図書館
풍동도서관,Pungdong Library,楓洞図書館
고양시립한뫼도서관,Goyang Municipal Hanmoe Library,高陽市立ハンムェ図書館
고양아람누리,Goyang Aramnuri,高陽アラムヌリ
